DateTime,Entries,UniqueIPs
1509561372,29212,29776
1509562356,29212,29775
1509563292,29210,29773
1509564281,29211,29774
1509565215,29200,29762
1509566208,29208,29770
1509567139,29218,29780
1509568142,29217,29777
1509569059,29219,29778
1509570098,29228,29786
1509571223,29231,29790
1509572182,29244,29804
1509573128,29258,29818
1509574110,29260,29820
1509575323,29272,29832
1509576259,29270,29830
1509577225,29277,29837
1509578202,29277,29837
1509579134,29266,29827
1509580128,29256,29817
1509581330,29243,29804
1509582517,29246,29807
1509583457,29252,29812
1509584426,29267,29828
1509585395,29272,29833
1509586343,29282,29844
1509587310,29295,29859
1509588280,29319,29883
1509589215,29324,29888
1509590187,29319,29883
1509591145,29330,29895
1509592362,29330,29895
1509593302,29345,29910
1509594272,29346,29911
1509595214,29357,29923
1509596193,29361,29927
1509597144,29371,29937
1509598109,29385,29952
1509599066,29387,29955
1509600022,29391,29959
1509600996,29385,29953
1509601977,29395,29963
1509603021,29406,29974
1509604115,29404,29972
1509605060,29405,29974
1509606020,29409,29979
1509607005,29414,29984
1509607938,29412,29981
1509608906,29406,29974
1509609862,29407,29975
1509610816,29405,29974
1509611795,29394,29963
1509612730,29401,29968
1509613707,29403,29970
1509614652,29399,29966
1509615622,29385,29953
1509616580,29385,29953
1509617544,29379,29947
1509618495,29378,29945
1509619470,29383,29950
1509620431,29392,29959
1509621371,29384,29950
1509623581,29378,29943
1509624494,29384,29949
1509625484,29378,29941
1509626424,29390,29952
1509627411,29389,29951
1509628348,29389,29952
1509629302,29395,29959
1509630259,29395,29959
1509631250,29397,29963
1509632172,29394,29963
1509633163,29391,29960
1509634093,29396,29966
1509635078,29397,29966
1509636027,29389,29959
1509636990,29392,29962
1509637941,29390,29960
1509638897,29383,29953
1509639865,29382,29951
1509640832,29381,29950
1509641780,29382,29951
1509642763,29381,29951
1509643695,29375,29946
1509644660,29379,29950
1509645886,29366,29937
1509646828,29370,29941
1509648038,29369,29940
1509648974,29368,29940
1509649933,29372,29943
1509650910,29374,29947
1509651858,29375,29949
1509652841,29378,29952
1509653786,29371,29945
1509654772,29369,29943
1509655699,29367,29941
1509656679,29366,29940
1509657628,29365,29938
1509658854,29362,29933
1509659770,29365,29936
1509660748,29367,29938
1509661694,29363,29934
1509662667,29360,29933
1509663629,29354,29927
1509664596,29360,29933
1509665534,29351,29924
1509666530,29344,29916
1509667476,29342,29914
1509669925,29325,29897
1509670829,29318,29888
1509671786,29309,29879
1509672751,29321,29891
1509673711,29329,29899
1509674677,29351,29921
1509675635,29366,29937
1509676572,29383,29954
1509677555,29390,29963
1509678491,29397,29968
1509679470,29406,29976
1509680422,29420,29988
1509681386,29428,29997
1509682347,29441,30010
1509683303,29441,30013
1509684268,29451,30025
1509685258,29450,30024
1509686175,29458,30032
1509687164,29461,30035
1509688098,29467,30041
1509689070,29470,30043
1509690014,29467,30039
1509690999,29466,30038
1509691929,29464,30036
1509692911,29458,30030
1509693854,29453,30025
1509694816,29458,30030
1509695781,29455,30027
1509696750,29455,30027
1509697703,29449,30020
1509698667,29444,30015
1509699617,29437,30008
1509700604,29442,30013
1509701536,29451,30022
1509702515,29448,30018
1509703460,29456,30027
1509704420,29461,30032
1509705392,29465,30035
1509706336,29466,30037
1509707316,29464,30033
1509708265,29452,30021
1509709226,29472,30042
1509710204,29467,30037
1509711132,29466,30035
1509712124,29467,30036
1509713057,29464,30033
1509714055,29462,30030
1509714973,29468,30036
1509715943,29466,30033
1509716910,29466,30033
1509717882,29464,30031
1509718823,29462,30030
1509719791,29462,30030
1509720732,29463,30031
1509721766,29464,30033
1509722910,29460,30029
1509723854,29454,30023
1509725093,29451,30020
1509726029,29449,30017
1509726994,29451,30019
1509727931,29449,30017
1509728918,29460,30027
1509729854,29456,30023
1509730824,29467,30034
1509731785,29467,30034
1509732733,29465,30032
1509733700,29456,30023
1509734666,29462,30029
1509735610,29465,30032
1509736592,29468,30035
1509737539,29466,30033
1509738507,29464,30030
1509739461,29466,30031
1509740422,29465,30028
1509741385,29463,30026
1509742341,29458,30020
1509743295,29456,30016
1509744279,29450,30009
1509745207,29457,30016
1509746169,29454,30013
1509747152,29462,30021
1509748097,29454,30013
1509749059,29462,30021
1509751747,29441,30000
1509752918,29441,30000
1509753882,29432,29992
1509754836,29430,29990
1509755785,29428,29988
1509756742,29449,30009
1509757705,29429,29989
1509758652,29445,30006
1509759626,29454,30014
1509760572,29477,30037
1509761542,29489,30052
1509762509,29482,30045
1509763455,29504,30067
1509764431,29520,30084
1509765378,29519,30083
1509766357,29529,30093
1509767296,29544,30108
1509768260,29548,30112
1509769235,29542,30105
1509770173,29553,30116
1509771142,29553,30117
1509772107,29564,30128
1509773052,29568,30132
1509774023,29565,30129
1509774986,29575,30140
1509775973,29589,30154
1509776894,29603,30168
1509777873,29603,30168
1509778832,29609,30174
1509779782,29620,30185
1509780761,29611,30176
1509781696,29620,30185
1509782662,29629,30194
1509783624,29621,30186
1509784587,29630,30195
1509785541,29632,30197
1509786505,29619,30184
1509787468,29622,30186
1509788423,29633,30197
1509789371,29642,30206
1509790357,29641,30204
1509791296,29648,30211
1509792250,29649,30212
1509793247,29646,30210
1509794175,29656,30220
1509795847,29655,30219
1509796821,29641,30204
1509797777,29652,30215
1509798739,29647,30210
1509799702,29634,30199
1509800655,29641,30206
1509801624,29643,30207
1509802581,29638,30201
1509803537,29647,30210
1509804491,29641,30204
1509805467,29648,30211
1509806420,29651,30215
1509807373,29655,30219
1509808356,29659,30223
1509809293,29666,30216
1509810250,29681,30232
1509811253,29662,30199
1509812184,29666,30203
1509813150,29664,30202
1509814094,29654,30192
1509815089,29651,30191
1509816029,29650,30192
1509816988,29650,30193
1509817929,29649,30192
1509818918,29644,30187
1509819849,29642,30186
1509820816,29642,30177
1509821795,29641,30174
1509822733,29638,30169
1509823701,29624,30151
