DateTime,Entries,UniqueIPs
1507881769,4694,4694
1507882639,4689,4689
1507889834,4690,4690
1507897037,4694,4694
1507904240,4705,4705
1507911444,4701,4701
1507913246,4702,4702
1507918641,4701,4701
1507919540,4702,4702
1507925843,4705,4705
1507927640,4706,4706
1507933041,4706,4706
1507936641,4707,4707
1507940242,4707,4707
1507947434,4704,4704
1507952836,4702,4702
1507954664,4701,4701
1507961839,4700,4700
1507969033,4712,4712
1507976240,4708,4708
1507983433,4705,4705
1507990638,4705,4705
1507997839,4706,4706
1508001448,4708,4708
1508005039,4717,4717
1508012240,4725,4725
1508019444,4725,4725
1508020342,4726,4726
1508026643,4731,4731
1508033844,4729,4729
1508041067,4731,4731
1508048243,4730,4730
1508055440,4730,4730
1508062639,4731,4731
1508069839,4733,4733
1508077038,4729,4729
1508080644,4730,4730
1508084236,4725,4725
1508089639,4724,4724
1508091443,4719,4719
1508095038,4720,4720
1508098643,4717,4717
1508105843,4716,4716
1508113039,4718,4718
1508120237,4716,4716
1508126567,4718,4718
1508127461,4718,4718
1508134643,4715,4715
1508141841,4714,4714
1508149035,4716,4716
1508156244,4715,4715
1508162573,4714,4714
1508163442,4717,4717
1508170643,4720,4720
1508171536,4719,4719
1508175141,4721,4721
1508177838,4720,4720
1508185039,4719,4719
1508185940,4720,4720
1508192237,4719,4719
1508199443,4717,4717
1508206640,4716,4716
1508213862,4712,4712
1508217444,4711,4711
1508221035,4708,4708
1508229137,4711,4711
1508235436,4710,4710
1508242637,4711,4711
1508245367,4710,4710
1508249842,4713,4713
1508251637,4712,4712
1508252562,4713,4713
1508256165,4714,4714
1508257038,4707,4707
1508259767,3344,3344
1508262439,4759,4759
1508264243,4769,4769
1508266971,4770,4770
1508271443,4771,4771
1508278636,4767,4767
1508282245,4766,4766
1508285835,4765,4765
1508293040,4759,4759
1508300270,4754,4754
1508307448,4748,4748
1508311041,4747,4747
1508314643,4746,4746
1508321841,4745,4745
1508329049,4739,4739
1508336241,4742,4742
1508343445,4747,4747
1508350649,4742,4742
1508357839,4744,4744
1508365040,4746,4746
1508371382,4745,4745
1508372245,4749,4749
1508379445,4752,4752
1508382169,4753,4753
1508383055,4753,4753
1508386671,4754,4754
1508393848,4747,4747
1508398340,4746,4746
1508401037,4748,4748
1508403777,4749,4749
1508408237,4747,4747
1508411838,4748,4748
1508413641,4749,4749
1508415444,4748,4748
1508422642,4753,4753
1508425374,4752,4752
1508429844,4749,4749
1508433440,4696,4696
1508437038,4696,4696
1508441521,4695,4695
1508444214,4700,4700
1508451402,4695,4695
1508458606,4691,4691
1508460404,4692,4692
1508464008,4691,4691
1508465802,4685,4685
1508473028,4686,4686
1508476609,4687,4687
1508480204,4684,4684
1508487406,4685,4685
1508494600,4683,4683
